timestamp,event_id,user_id,user_name,event_type,ip_address,device_id,success,failure_reason,geo_country,user_agent,flag,notes
2024-11-14 06:00:04,EVT-000001,user_4180,Kunle Adesola,LOGOUT,198.12.250.14,MOB-6912-CC,TRUE,,CA,ReytsApp/2.3 Android,,
2024-11-14 06:00:31,EVT-000002,user_4804,Fatima Ilori,SESSION_REFRESH,24.231.206.120,MOB-5161-XY,TRUE,,CA,ReytsApp/2.1 iOS,,
2024-11-14 06:00:41,EVT-000003,user_2848,Emeka Iorfa,MFA_CHALLENGE,129.53.18.26,MOB-7868-MN,TRUE,,CA,ReytsApp/2.3 Android,,
2024-11-14 06:00:55,EVT-000004,user_5399,UNKNOWN,LOGIN,36.165.249.195,UNK-3957,FALSE,CAPTCHA_REQUIRED,BR,sqlmap/1.7,BACKGROUND_BRUTE_FORCE,Background credential attack noise
2024-11-14 06:01:22,EVT-000005,user_6610,UNKNOWN,LOGIN,12.239.53.175,UNK-9394,FALSE,CAPTCHA_REQUIRED,KP,curl/7.88,BACKGROUND_BRUTE_FORCE,Background credential attack noise
2024-11-14 06:01:42,EVT-000006,user_7543,Ekene Adesanya,SESSION_REFRESH,70.194.13.221,MOB-3266-KL,TRUE,,CA,ReytsApp/2.1 iOS,,
2024-11-14 06:02:19,EVT-000007,user_9133,Ifeoma Falana,LOGIN,207.33.192.200,MOB-9474-EE,FALSE,INVALID_PASSWORD,CA,ReytsApp/2.3 Android,,
2024-11-14 06:02:31,EVT-000008,user_3531,UNKNOWN,LOGIN,100.31.45.61,UNK-9977,FALSE,INVALID_PASSWORD,KP,Medusa/2.2,BACKGROUND_BRUTE_FORCE,Background credential attack noise
2024-11-14 06:03:05,EVT-000009,user_6096,Dele Gboyega,LOGIN,174.102.242.184,MOB-1420-EE,TRUE,,CA,ReytsApp/1.9 iOS,,
2024-11-14 06:03:32,EVT-000010,user_1977,UNKNOWN,LOGIN,209.139.214.191,UNK-8374,FALSE,CAPTCHA_REQUIRED,RU,python-requests/2.28.0,BACKGROUND_BRUTE_FORCE,Background credential attack noise
2024-11-14 06:03:34,EVT-000011,user_4641,Nkechi Akingbola,LOGOUT,64.208.33.24,MOB-7563-FF,TRUE,,CA,ReytsApp/2.2 Android,,
2024-11-14 06:03:42,EVT-000012,user_5708,Ade Osei,LOGIN,70.114.43.178,MOB-2480-ZZ,TRUE,,CA,ReytsApp/1.9 iOS,,
2024-11-14 06:03:45,EVT-000013,user_6900,Tunde Ezeanowi,MFA_CHALLENGE,198.198.27.229,MOB-3734-FF,FALSE,OTP_EXPIRED,CA,ReytsApp/2.3 Android,,
2024-11-14 06:04:19,EVT-000014,user_5051,Seun Mensah,LOGOUT,64.172.30.145,MOB-3496-DD,TRUE,,CA,ReytsApp/1.9 iOS,,
2024-11-14 06:04:57,EVT-000015,user_8438,Bola Ita,LOGIN,129.109.30.140,MOB-4824-EE,FALSE,ACCOUNT_TEMPORARILY_LOCKED,CA,ReytsApp/2.2 Android,,
2024-11-14 06:05:07,EVT-000016,user_7108,Chidi Fagunwa,LOGOUT,24.245.103.18,MOB-1862-CC,TRUE,,CA,ReytsApp/2.3 Android,,
2024-11-14 06:05:12,EVT-000017,user_6582,Bunmi Adeyinka,LOGOUT,70.103.126.19,MOB-5136-XY,TRUE,,CA,ReytsApp/2.1 iOS,,
2024-11-14 06:06:08,EVT-000018,user_5201,Hope Eshiett,MFA_CHALLENGE,198.239.144.179,MOB-4505-DD,TRUE,,CA,ReytsApp/2.1 iOS,,
2024-11-14 06:06:43,EVT-000019,user_8972,Ahmed Isah,SESSION_REFRESH,174.253.154.15,MOB-6053-AA,TRUE,,CA,ReytsApp/1.9 iOS,,
2024-11-14 06:07:10,EVT-000020,user_1046,Olu Bamidele,LOGIN,142.29.170.222,MOB-3129-KL,TRUE,,CA,ReytsApp/2.3 Android,,
2024-11-14 06:07:22,EVT-000021,user_1319,Shade Alabi,LOGIN,129.225.146.243,MOB-6038-DD,TRUE,,CA,ReytsApp/2.1 iOS,,
2024-11-14 06:07:24,EVT-000022,user_7116,Lanre Osei,SESSION_REFRESH,207.62.188.169,MOB-1266-FF,TRUE,,CA,ReytsApp/2.1 iOS,,
2024-11-14 06:07:32,EVT-000023,user_1832,Ife Ilori,MFA_CHALLENGE,24.86.198.34,MOB-7939-EE,TRUE,,CA,ReytsApp/2.1 iOS,,
2024-11-14 06:07:34,EVT-000024,user_9835,Moses Davis,LOGOUT,207.113.231.133,MOB-4295-EE,TRUE,,CA,ReytsApp/1.9 iOS,,
2024-11-14 06:08:28,EVT-000025,user_6067,Joy Wilson,LOGIN,142.180.3.42,MOB-3877-BB,TRUE,,CA,ReytsApp/1.9 iOS,,
2024-11-14 06:08:32,EVT-000026,user_3522,Bilkisu Williams,LOGOUT,198.107.214.124,MOB-5781-KL,TRUE,,CA,ReytsApp/2.2 Android,,
2024-11-14 06:08:49,EVT-000027,user_7899,Bimpe Eshiett,SESSION_REFRESH,129.118.28.35,MOB-2260-FF,TRUE,,CA,ReytsApp/2.1 iOS,,
2024-11-14 06:09:51,EVT-000028,user_8430,Onyeka Chukwurah,SESSION_REFRESH,207.171.66.96,MOB-2557-FF,TRUE,,CA,ReytsApp/2.2 Android,,
2024-11-14 06:10:01,EVT-000029,user_9317,Elijah Fasanya,MFA_CHALLENGE,207.225.197.159,MOB-9626-AA,TRUE,,CA,ReytsApp/2.1 iOS,,
2024-11-14 06:10:11,EVT-000030,user_4090,UNKNOWN,LOGIN,85.223.134.77,UNK-7832,FALSE,CAPTCHA_REQUIRED,RU,python-requests/2.28.0,BACKGROUND_BRUTE_FORCE,Background credential attack noise
2024-11-14 06:10:41,EVT-000031,user_3851,UNKNOWN,LOGIN,53.202.158.240,UNK-8330,FALSE,ACCOUNT_NOT_FOUND,UNKNOWN,curl/7.88,BACKGROUND_BRUTE_FORCE,Background credential attack noise
2024-11-14 06:10:48,EVT-000032,user_3492,Bilkisu Nwosu,LOGOUT,207.223.26.224,MOB-3068-KL,TRUE,,CA,ReytsApp/1.9 iOS,,
2024-11-14 06:11:05,EVT-000033,user_6435,Ikenna Asante,TOKEN_REFRESHED,207.14.26.112,MOB-3292-BB,TRUE,,CA,ReytsApp/2.3 Android,,
2024-11-14 06:11:08,EVT-000034,user_6523,UNKNOWN,LOGIN,182.223.248.239,UNK-8654,FALSE,ACCOUNT_NOT_FOUND,RU,curl/7.88,BACKGROUND_BRUTE_FORCE,Background credential attack noise
2024-11-14 06:11:18,EVT-000035,user_4909,Tunde Adewumi,MFA_CHALLENGE,64.157.156.15,MOB-2412-ZZ,TRUE,,CA,ReytsApp/2.1 iOS,,
2024-11-14 06:11:21,EVT-000036,user_5781,UNKNOWN,LOGIN,36.165.249.195,UNK-5580,FALSE,RATE_LIMITED,RU,sqlmap/1.7,BACKGROUND_BRUTE_FORCE,Background credential attack noise
2024-11-14 06:11:54,EVT-000037,user_2049,Nnamdi Mensah,LOGIN,24.19.182.162,MOB-4770-MN,TRUE,,CA,ReytsApp/2.1 iOS,,
2024-11-14 06:12:26,EVT-000038,user_2233,Taiwo Asante,LOGIN,24.68.138.32,MOB-4696-ZZ,TRUE,,CA,ReytsApp/2.3 Android,,
2024-11-14 06:12:41,EVT-000039,user_8245,Olu Lawal,LOGOUT,64.90.105.86,MOB-8141-XY,TRUE,,CA,ReytsApp/2.3 Android,,
2024-11-14 06:12:55,EVT-000040,user_7916,James Obiora,TOKEN_REFRESHED,64.136.65.249,MOB-7304-ZZ,TRUE,,CA,ReytsApp/2.3 Android,,
2024-11-14 06:13:04,EVT-000041,user_2257,Daniel Akindele,SESSION_REFRESH,24.116.233.208,MOB-9307-ZZ,TRUE,,CA,ReytsApp/2.2 Android,,
2024-11-14 06:13:13,EVT-000042,user_9369,Ikenna Chukwurah,TOKEN_REFRESHED,174.48.125.163,MOB-3258-MN,TRUE,,CA,ReytsApp/2.3 Android,,
2024-11-14 06:13:24,EVT-000043,user_3868,Olamide Ita,LOGOUT,64.10.76.52,MOB-8612-XY,TRUE,,CA,ReytsApp/1.9 iOS,,
2024-11-14 06:13:25,EVT-000044,user_5781,Uzoma Alege,LOGOUT,142.176.98.44,MOB-2387-KL,TRUE,,CA,ReytsApp/2.3 Android,,
2024-11-14 06:13:47,EVT-000045,user_1832,Ife Ilori,LOGIN,24.86.198.34,MOB-7939-EE,TRUE,,CA,ReytsApp/2.2 Android,,
2024-11-14 06:13:49,EVT-000046,user_8651,UNKNOWN,LOGIN,11.143.236.162,UNK-8456,FALSE,RATE_LIMITED,UNKNOWN,Hydra/9.4,BACKGROUND_BRUTE_FORCE,Background credential attack noise
2024-11-14 06:14:37,EVT-000047,user_8620,UNKNOWN,LOGIN,241.146.254.101,UNK-4027,FALSE,ACCOUNT_NOT_FOUND,RU,Medusa/2.2,BACKGROUND_BRUTE_FORCE,Background credential attack noise
2024-11-14 06:15:14,EVT-000048,user_8529,Afolabi Balogun,TOKEN_REFRESHED,129.177.233.34,MOB-3588-XY,TRUE,,CA,ReytsApp/2.3 Android,,
2024-11-14 06:15:43,EVT-000049,user_6585,Yemi Alade,MFA_CHALLENGE,142.194.159.13,MOB-6105-FF,TRUE,,CA,ReytsApp/2.1 iOS,,
2024-11-14 06:16:28,EVT-000050,user_4501,Ramatu Eniola,MFA_CHALLENGE,129.173.80.58,MOB-3780-BB,TRUE,,CA,ReytsApp/2.1 iOS,,
2024-11-14 06:17:40,EVT-000051,user_9133,UNKNOWN,LOGIN,28.146.166.32,UNK-2399,FALSE,INVALID_PASSWORD,RU,Hydra/9.4,BACKGROUND_BRUTE_FORCE,Background credential attack noise
2024-11-14 06:17:55,EVT-000052,user_5033,Bello Ifeanyi,MFA_CHALLENGE,174.169.150.145,MOB-1651-MN,TRUE,,CA,ReytsApp/2.3 Android,,
2024-11-14 06:18:13,EVT-000053,user_5033,Bello Ifeanyi,LOGOUT,174.169.150.145,MOB-1651-MN,TRUE,,CA,ReytsApp/2.1 iOS,,
2024-11-14 06:18:13,EVT-000054,user_4941,Abdullahi Chukwurah,TOKEN_REFRESHED,24.163.100.252,MOB-4068-BB,TRUE,,CA,ReytsApp/2.1 iOS,,
2024-11-14 06:18:37,EVT-000055,user_1349,Uche Akinwale,LOGIN,129.18.213.196,MOB-4990-CC,TRUE,,CA,ReytsApp/2.3 Android,,
2024-11-14 06:18:44,EVT-000056,user_4949,Bilkisu Ilori,LOGIN,207.240.82.34,MOB-2163-KL,TRUE,,CA,ReytsApp/2.2 Android,,
2024-11-14 06:18:56,EVT-000057,user_1152,Chiamaka Johnson,TOKEN_REFRESHED,142.123.19.59,MOB-6629-BB,TRUE,,CA,ReytsApp/2.1 iOS,,
2024-11-14 06:19:02,EVT-000058,user_5065,Gbenga Afolabi,LOGOUT,64.57.52.210,MOB-2771-ZZ,TRUE,,CA,ReytsApp/2.3 Android,,
2024-11-14 06:19:04,EVT-000059,user_9317,Elijah Fasanya,TOKEN_REFRESHED,207.225.197.159,MOB-9626-AA,TRUE,,CA,ReytsApp/2.1 iOS,,
2024-11-14 06:20:10,EVT-000060,user_1725,Suleiman Imeokparia,LOGOUT,70.3.26.67,MOB-7547-FF,TRUE,,CA,ReytsApp/1.9 iOS,,
